name,symbol
act,ACT
adel,ADL
agrello,DLT
aragon,ANT
aragon,ANT
aragon,ANT
augur,REP
bancor,BNT
BasicAttentionTokenWhitePaper,BAT
bitlandglobal,na
chronobank,TIME
civic,CVC
coindash,CDT
decibel,na
decibel,na
encryptotel,ETT
ethbits,ETBS
exscudo,CESC
filecoin,FIL
gnosis,GNO
golem,GNT
Hcash,HSR
iconomi,ICN
investfeed,IFT
Lunyr,LUN
minexcoin,MNX
MobileGo,MGO
monaco,MCO
patientory,PTOY
PillarProjectGrayPaper,PLR
polybius,PLBT
procommerce,na
rialto,XRL
scriptdrop,AHC
skincoin,SKIN
sonm,SNM
starbase,STAR
storj,STORJ
streamer,DATA
suretly,SUR
taas,TAAS
tezos,XTZ
trueflip,TFL
vdice,VSL
vivacoin,VIVA
wagerr,WGR
suncontract,SNC
whitepaper,na
XUC,XUC
